Issue,Agreement,Opinion,Polarization
"Municipal governments should reallocate a portion of their police budgets to fund social programs and mental health services, even if it means reducing the number of active police officers.",0.45,0,0.08
"Municipalities should relax environmental regulations to attract businesses, even if it increases pollution in lower-income neighbourhoods.",0.3,0.5,0.1
"Municipal governments should reduce funding for bike lanes and focus on road expansion for vehicles, even if it makes the municipality less bike-friendly.",0.53,0.12,0.11
"Municipal governments should stop subsidizing public transit fares and instead focus on improving road infrastructure, even if it leads to fewer people using public transportation.",0.49,0.74,0.13
"Municipal governments should invest heavily in expanding bike lanes, even if it means reducing the number of lanes for cars on major roads.",0.41,0.8,0.07
"Municipalities should prioritize protecting existing neighbourhoods from high-density developments, even if it makes housing less affordable for new residents.",0.54,0.98,0.12
"Municipalities should prioritize zoning policies that protect single-family homes, even if it restricts the development of more affordable housing options like duplexes or townhouses.",0.68,0.58,0.11
"Municipalities should offer tax breaks and incentives for green businesses, even if it increases taxes for other industries.",0.63,0.1,0.14
"Municipalities should require large companies to contribute to local infrastructure and social programs, even if it makes them less likely to set up offices in the area.",0.65,0.82,0.11
"Municipalities should require developers to include affordable housing units in new luxury developments, even if it reduces the overall profitability of those projects.",0.75,0.54,0.11
"Municipalities should reduce business taxes to stay competitive with other regions, even if it means cutting funding for public infrastructure projects like transit and road repairs.",0.38,0.32,0.05
"Municipal governments should prioritize hiring more community outreach workers over expanding police forces, as a way to address the root causes of crime.",0.65,0.71,0.07
"Municipal governments should increase user fees for public services like garbage collection and parking, rather than raising property taxes across the board.",0.5,0.45,0.05
Municipal governments should raise property taxes on second homes to fund affordable housing projects.,0.58,0.76,0.1
"Municipal governments should allocate more resources to reconciliation programs for urban Indigenous communities, even if it means reducing funding for other local services.",0.44,0.08,0.1
"Municipal governments should maintain historical statues and monuments, even if some figures had controversial or prejudiced views.",0.73,0.67,0.08
"Municipal governments should remove all statues of controversial historical figures, even if it angers some long-term residents.",0.34,0.84,0.07
"Municipalities should ensure equal representation of women and minorities on council, even if it requires changing current election rules.",0.55,0.3,0.09
Municipalities should not allocate additional funds for inclusion and diversity programs if it means cutting resources for economic development.,0.7,0.94,0.09
"Municipal governments should reduce funding for immigrant-focused programs and instead prioritize services that benefit all residents equally, regardless of immigration status.",0.83,0.86,0.08
"Municipalities should expand funding for language and job training programs targeted at immigrants to help them integrate into the local economy, even if this reduces funding for other municipal services.",0.5,0.84,0.17
"Municipalities should focus on improving economic development rather than implementing costly climate change mitigation strategies that could limit business growth, even if it leads to higher emissions.",0.61,0.33,0.12
"Municipal governments should ban single-use plastics in all public spaces, even if this creates inconvenience for local businesses and residents.",0.65,0.49,0.11
"Municipalities should allow private companies to handle waste management and recycling services to reduce public spending, even if it results in lower environmental standards.",0.53,0.1,0.07
"Municipal governments should mandate that all new developments meet strict environmental standards, even if it increases the cost of housing and construction.",0.68,0.26,0.09
"Municipal governments should prioritize economic growth and development over strict environmental regulations, even if it results in increased pollution or environmental degradation.",0.43,0.49,0.15
